gene	log2FoldChange_ov90_30minProt	pval_ov90_30minProt	log2FoldChange_ov90_120minProt	pval_ov90_120minProt
AAMDC	-0.377136901	0.008048314	0.148341997	0.41666893200000005
ARMC10	0.225522869	0.008156301	0.140487319	0.29385658
ARPC3	0.218856262	0.008205781	-0.016706355	0.861350398
SETDB2	0.190528728	0.00823091	-0.077258466	0.264543857
PPP1R14A	-0.528944885	0.008407539	0.24343637399999998	0.313761987
COX20	0.24905746	0.00850725	0.239356095	0.143261167
ACTR3	0.16766192800000002	0.008534653	0.017273377	0.845034176
STMN1	-0.251759	0.008837924	0.148336933	0.209484045
MYH14	-0.180246445	0.008987466999999999	0.19469084600000003	0.180832065
SMG7	0.326669668	0.009172036	0.025230735	0.829790751
CLIC5	-0.394014899	0.009214551	0.056352299	0.623190234
ATP6V0D1	0.204469912	0.009260849	-0.096897043	0.304745361
CBS	-0.377990848	0.009352551	0.32059517600000004	0.029178249
RPL38	-0.397389218	0.009380245	0.09947281	0.603734556
CHD4	-0.226836557	0.009626355999999999	-0.01149004	0.9282441640000001
	0.51986546	0.009656885	-0.36106796	0.002974873
B4GALNT3	0.20457292800000001	0.009757652	-0.070777678	0.43296249700000006
CAV1	0.323196686	0.009833932	-0.152974282	0.298245412
SSX2IP	0.237678826	0.009864963000000001	-0.080012968	0.379539485
CTSZ	0.255159907	0.009926136	0.06753824	0.509815763
ROR1	0.23729114199999998	0.010302825	-0.022623152	0.8193186920000001
GCLM	-0.339382742	0.010321645	0.13990367	0.331830964
TPM4	0.41778535899999997	0.010375319000000001	-0.249685242	0.16415119
PRDX6	-0.252928652	0.010387438	0.14649404800000002	0.319466441
RPL22L1	0.22879302	0.01066703	-0.19265407699999998	0.053418017000000005
B3GNT7	0.317370387	0.010706977	0.077226932	0.450897823
MTX2	0.215198783	0.010728843	-0.034217125	0.74948785
PCNP	-0.388451995	0.01076638	-0.018532532	0.9190273240000001
PNMA2	-0.301138705	0.010961183000000001	0.138473689	0.234163375
CA2	-0.34910653799999997	0.010965976	0.15833940300000002	0.318547984
FAM83E	0.38164367899999996	0.010985463999999999	-0.243197353	0.057871349
RNF6	0.22592227399999998	0.011145163999999999	-0.22344597600000002	0.022886311
ZFR	-0.180163822	0.011409426	-0.047220717	0.65507611
BCAT1	-0.25897654800000003	0.011420477	0.15065188699999998	0.175955432
PINX1	0.44884969	0.011566105	-0.514412393	0.015418148999999999
EPB41L1	0.34047186700000004	0.011734453999999998	0.12412620099999999	0.352675354
CMBL	-0.326056339	0.011939443999999999	0.170121705	0.266607976
CORO1C	0.274772309	0.012109723999999999	-0.34317779600000003	0.009600065999999999
CARHSP1	-0.35069049399999996	0.012287158000000001	0.19969160800000002	0.23694682399999997
POGLUT1	0.270714515	0.012289268	-0.054715430999999995	0.660468453
SGTB	-0.218494333	0.01229905	0.152425746	0.164884264
DNAJC8	-0.23393075	0.012335226999999999	0.107196444	0.363003659
FAM172A	0.22335509899999997	0.012573336000000001	-0.23080355800000002	0.016621062
TOP2B	0.73141208	0.012725114	-0.253541161	0.368078391
NAALADL2	-0.406434175	0.012993587	0.218343067	0.15975224699999999
AIG1	0.253280897	0.013081045	0.145254438	0.43875498799999996
INTS7	-0.441645878	0.013137029	-0.589876733	0.000159968
TXNDC17	-0.23434491699999999	0.013212624	0.08963522	0.457727967
PGS1	0.20896493100000002	0.013341883	0.057072069	0.5416658329999999
MAN2A2	0.24232262	0.01340981	-0.036436368999999996	0.7090065729999999
GCLC	-0.289734261	0.013430728999999999	0.14128598	0.29988934
UQCRQ	0.283261049	0.013538858	-0.063437845	0.594499274
AKR1C1	-0.330794985	0.013619556000000001	0.18616111600000002	0.23672286899999997
SULT2A1	-0.33375188100000003	0.013719183000000001	0.23067642	0.17305319
AACS	-0.25926631699999997	0.013723657	0.078408348	0.5282818220000001
HINT1	-0.204802595	0.013785875	0.102735095	0.410667358
DNPH1	-0.240497073	0.013830943	0.103607171	0.379557198
MAP2K4	-0.215828561	0.013849208	0.08665026699999999	0.424480475
CDPF1	-0.17487924	0.013916741000000002	-0.072666911	0.364862497
SLC25A43	0.18122476699999998	0.013926426	0.085381322	0.369149361
H1F0	0.59253369	0.014001043999999999	-0.35639203700000005	0.121955626
HS1BP3	-0.25667519899999997	0.014081547	0.153841916	0.164377285
C1GALT1C1	0.204574006	0.014097057	0.033039413	0.7612988629999999
GCHFR	-0.34648484700000004	0.014348215	0.150536597	0.20173272
HOXC11	0.193131264	0.014429214	0.09962365599999999	0.313037336
INTS4	-0.381504666	0.014504565	-0.554797564	9.22e-05
ARPC1B	0.177484904	0.014536885	-0.055100042	0.577386964
ANK1	0.539971189	0.014687759	-0.217225305	0.111502332
CASP3	-0.292356433	0.015052795	0.094042499	0.49169767200000003
RAB6C	-0.344659978	0.015155185	0.228566725	0.029167385
GSTM3	-0.24646733899999998	0.015185515	0.09143904800000001	0.507349959
AKR1D1	-0.387248469	0.015233303	0.08316536599999999	0.6173728510000001
CENPL	0.257818562	0.015263856999999999	-0.5944574220000001	0.002089339
SOD1	-0.258753036	0.015363808	0.17169400399999998	0.208439442
SULT1B1	-0.206224412	0.015428613	0.056040603	0.631950169
ERLIN1	0.346552287	0.01548369	-0.035075909	0.8282735940000001
SLC31A1	-0.27881591699999997	0.015513653999999998	0.207666955	0.011194115
PPP1R2	-0.247915936	0.015521715	0.146973713	0.24175448300000002
FABP5	-0.250344362	0.015716253	0.226171548	0.13246554300000002
AKR1B1	-0.199815267	0.015921883	0.082671695	0.500856105
GNPDA1	-0.19153619800000002	0.015940933	0.057325258	0.605695286
EIF4H	-0.21642610899999998	0.015962709	0.10433227199999999	0.33716334600000003
UBE2L6	-0.206273772	0.016000835	0.13899850800000002	0.196128377
TMEM126A	0.195239181	0.016079173000000002	0.17943516	0.17052240300000002
TIGAR	-0.33872625	0.016122074	0.196237103	0.191266897
PIR	-0.323688285	0.01618059	0.13787303	0.349858215
HNMT	-0.268107576	0.016219892	0.052675691	0.688361668
DDAH1	0.557965786	0.016229619	-0.522684634	0.015179868999999999
PEBP1	-0.342296204	0.016233907	0.217586075	0.19965437
ENSA	-0.333564876	0.016262111	0.142851706	0.42464737399999997
TMEM160	0.281773092	0.016333217	0.19071187899999997	0.102665608
TMEM11	0.165594664	0.016445158	0.061340344000000005	0.623606042
TOMM20	0.39784117	0.016611443	-0.38293563700000005	0.070398742
DPYSL2	-0.255301877	0.01664745	0.160091741	0.18635908899999998
TMA7	-0.295590623	0.01680574	0.116569831	0.39645318799999996
ZNF814	0.188034167	0.016809365	-0.459484109	0.000401114
TONSL	0.165158523	0.01686896	-0.15298577900000002	0.053781184
SYMPK	-0.143257252	0.016958771	0.08442052300000001	0.272422987
ATP6V0A2	0.174922443	0.017138271	-0.001304431	0.986738329
ZNF524	0.28716674	0.017277665	-0.297269187	0.019602438
TJP1	0.521906416	0.017297632	-0.328193061	0.009579441999999999
MFI2	0.37157265799999994	0.01740408	-0.233510942	0.102521531
CRAMP1L	0.160293552	0.017539011	0.041145631	0.607308419
PRDX2	-0.209925005	0.017616165	0.142461667	0.2771603
ABLIM1	0.500122844	0.017656511	-0.679035139	0.0013492089999999999
LCOR	-0.471025614	0.017663566999999998	-0.280675789	0.004505882
CENPN	0.248985171	0.017679306000000002	-0.506184133	0.001294318
EPS8L2	0.18017785600000003	0.017719951	-0.030799884	0.699832896
CDK7	0.170723282	0.017795578	0.124056783	0.08752396800000001
GTF2H4	0.187207221	0.017829589	-0.100863975	0.226417068
C11orf95	0.235628422	0.017917949	-0.254080933	0.011012428000000001
CCNH	0.177345765	0.018003356	0.10117114	0.15171464099999998
ABLIM3	0.390865667	0.01804025	-0.529671462	0.001060172
UQCRB	0.19049865100000002	0.018065121	-0.024753669	0.7620571290000001
MTCH2	0.188213772	0.018193067	-0.066305211	0.428313944
SSFA2	0.23817391300000001	0.018282913999999997	-0.17412797600000002	0.21313497399999998
WFS1	0.207763668	0.018367142	0.148809244	0.23915062
PIN4	-0.372012054	0.018404497	0.19529596100000002	0.22291061199999998
MKRN3	0.216923477	0.018491498000000002	0.15619175	0.317962906
KIAA2013	0.196594844	0.018540043	0.15417788699999999	0.226101615
GPX2	-0.18637635	0.018619665	0.07540938	0.446810451
SPIN1	0.192421703	0.018623632	-0.151293135	0.145191522
PHLDB3	-0.18613759	0.018713379	0.049402978	0.631989493
NPM1	0.857076356	0.01885068	-0.593676901	0.034092402
NAA40	0.37050717200000005	0.018930711	-0.5775842529999999	0.000495996
SSH2	0.285978933	0.018989124	-0.21018658699999998	0.015170312
TMCO3	0.18477453300000002	0.019038351000000002	0.253104032	0.073494146
WIZ	-0.407157111	0.019072392	-0.137197641	0.48031882600000003
INTS2	-0.34896965	0.019082697	-0.529552809	0.000315306
CENPV	0.541795778	0.019262091000000002	-0.93244904	0.001781161
RAB20	-0.21600059600000002	0.019509145	0.223787975	0.044534169000000005
NRBP1	-0.138286896	0.019567284	0.030288095	0.713326617
NUDCD2	-0.183350851	0.019575091	0.017397297	0.8684742529999999
PKIB	-0.296007708	0.019586337	0.119507914	0.38930088399999996
SERPINB9	-0.179859132	0.019744988999999998	0.09531457800000001	0.384187829
PIGG	0.240113878	0.019772552	-0.056938376	0.6462120920000001
PSMG4	-0.23267658600000002	0.019802967	0.083580403	0.343590894
SRI	-0.316742462	0.019805201	0.14545111800000002	0.300151525
ADI1	-0.304770329	0.020010241	0.119648202	0.37014429299999996
GDI2	-0.27144855	0.020112977	0.165085866	0.196091772
GALK1	-0.199608925	0.020182112	0.049224085	0.641140016
NHEJ1	-0.219216288	0.020190198	-0.122640624	0.301261544
CGNL1	0.198096982	0.020194803	-0.224952865	0.054908239000000005
R3HCC1	-0.232139892	0.020287338000000002	0.098269196	0.30576823
FAM73A	0.169346305	0.020346407	0.009778975	0.935989663
SERPINB6	-0.23274386	0.020397436	0.081806373	0.548527009
SH3GL1	-0.190526378	0.020406065	0.080966021	0.442437204
ATP2B3	0.500392935	0.020407323999999998	0.165690501	0.259169357
PRSS23	0.40421663700000005	0.020451227	-0.432359317	0.005370155
NLE1	0.323118528	0.020455709	-0.284766603	0.012226282
MPRIP	0.306880432	0.020572501	-0.47655308700000004	0.0073181190000000005
GSDMB	-0.215375965	0.020617462	0.113875781	0.284364575
MIF	-0.256266072	0.020671853	0.153123495	0.272705307
TTC39C	-0.17750548600000002	0.02069633	0.142682323	0.13679081099999998
PEA15	-0.19380914800000001	0.020718801999999998	0.042162124	0.7190628590000001
FUT8	0.323239376	0.020749966	0.079536395	0.616451423
LZIC	-0.255374122	0.020825371000000002	0.153124643	0.23654638
CBR1	-0.274788993	0.020871303	0.183446947	0.173088725
HNRNPLL	-0.16312069699999998	0.021028022	0.022226347999999996	0.7736002409999999
FAM192A	-0.164776635	0.02113176	0.029860415	0.7179476490000001
INF2	0.146895372	0.021238316	0.036498128	0.70567909
CYP2J2	0.145675792	0.021240669	-0.08869595300000001	0.26690682600000004
GPRC5A	0.43444900799999997	0.021449022	-0.333957785	0.01281092
SLC9A3	-0.36742377600000004	0.021504805	0.26808487	0.026347417
SLC25A12	0.24997536899999998	0.021625201	0.16922635100000002	0.35726737
PTRHD1	-0.228046203	0.021671346	0.095821849	0.345184641
SMC1A	0.19018226	0.021711478	-0.241172203	0.099076358
MTCL1	0.162142418	0.021716232999999998	-0.09369823	0.16640422800000002
C8orf59	-0.22950188600000002	0.021757117000000003	-0.008965487	0.9452265590000001
TARS	-0.22750668699999999	0.021770737999999998	0.172058481	0.137377445
UBAC1	-0.218981294	0.021803932999999998	0.055120829	0.6217600910000001
DNAJB4	-0.202018798	0.021872785	0.057634835	0.581001204
PCM1	0.224074563	0.02194376	-0.21734692600000002	0.060883875
KIF20A	-0.23379763899999997	0.021992532999999998	-0.16086171800000001	0.259300155
ACYP1	-0.285697101	0.02221798	0.123741325	0.301698276
MAGI1	0.25746189399999997	0.022250422000000002	-0.326183613	0.00881286
C5orf51	-0.35066220000000003	0.022317693	0.282253225	0.058224557
NUDT4	-0.266832277	0.022406307	0.12186916800000001	0.378189194
URM1	-0.432551852	0.022549327999999997	0.13129114	0.485048916
NEXN	0.32001706	0.02258177	-0.5228685829999999	0.000634234
PAK1IP1	0.278910957	0.022595266	-0.300603307	0.040769636
ZDHHC13	0.19444106100000003	0.022623422	0.209306639	0.12163708
ZFAND6	-0.206557968	0.022770968	0.042456092	0.6221612679999999
ME3	0.272538701	0.022839565	-0.12267128599999999	0.237530918
CDA	-0.319019848	0.022942367	0.237020428	0.139389822
MET	0.158315146	0.022989376000000002	-0.027348876	0.774111067
ZNF480	0.174701432	0.02306076	-0.189452308	0.024286397999999997
SP110	0.334199677	0.023156378	-0.279566878	0.020946193999999998
CSTB	-0.26948516	0.023156555	0.158957591	0.291205408
GPI	-0.246619615	0.023235528999999998	0.181405465	0.204457261
PSAPL1	0.512298534	0.023348214	0.002051554	0.99141877
PNO1	0.270028056	0.023417237999999996	-0.27929764	0.023204897999999998
DNAJA3	0.179201195	0.023422238999999997	-0.165409522	0.189801477
LRRC58	-0.239610288	0.02343912	0.10007039400000001	0.372981344
PHACTR2	-0.21715510699999999	0.023608395	0.106535535	0.36331474
LAMC2	0.41744042200000003	0.023727758999999998	-0.28161959	0.11734025099999999
CTDSPL2	0.248732731	0.02377359	-0.280941829	0.030833252000000002
PCIF1	-0.142701824	0.023908548999999998	-0.12628140300000001	0.08404861400000001
ARL14EP	0.171776478	0.023913063	-0.08565075400000001	0.261640809
GMPR2	-0.185828267	0.023926611	0.066695709	0.547334365
NAMPT	-0.18929448699999998	0.024034411000000002	0.104896468	0.33369939
CEBPA	0.18593545399999997	0.024238528999999998	-0.237675665	0.030640062000000003
SMC3	0.18221888	0.024291655	-0.259208237	0.073387244
C12orf57	-0.267444445	0.024306451	0.129944507	0.34463354
HLA-E	0.20891235600000002	0.024331218999999998	0.007035778	0.947251229
BBC3	-0.35634523100000004	0.024574485	0.055827706	0.65928628
SNTB1	-0.21742786	0.024591883	0.135873613	0.11880579
DBR1	-0.22402380600000002	0.024599032000000003	0.155398286	0.12163255099999999
BAX	-0.191098088	0.024677558	0.11006666400000001	0.246676893
GGCT	-0.23795081	0.024847424	0.15393073699999998	0.266325895
RTTN	0.217419909	0.024894841	-0.093887742	0.24730717100000002
NASP	-0.440244233	0.024932416000000002	0.540952364	0.007819639
SLC25A20	0.16899560000000002	0.024967595	0.290936651	0.071545145
RPL37A	0.213463698	0.024983155	-0.12928906699999998	0.293062502
G6PD	-0.22296484	0.025033962000000003	0.184282731	0.131535054
DCPS	-0.155207114	0.025062174	0.089874954	0.31009624399999997
DBI	-0.26580570600000003	0.025155592	0.19371012	0.18033541100000003
ARHGEF2	-0.171519769	0.025233472000000003	0.022959672999999996	0.79477884
TMUB1	0.21429647	0.025316657000000003	-0.087238126	0.483864105
PDLIM1	0.215704079	0.025537717999999997	-0.195591025	0.016601778
ACE2	-0.26589781100000004	0.025547117	0.232929918	0.071992181
PGAM1	-0.261720281	0.025590178999999998	0.156375059	0.22520514100000003
SCO1	0.22797119	0.025606384	0.347791038	0.026207135
PGK1	-0.299038262	0.025626542000000002	0.251294466	0.09941833900000001
PGD	-0.25793468199999997	0.025741791	0.207510127	0.13074370800000001
DCD	0.913604539	0.025745236	0.24703288699999998	0.540251399
ERLIN2	0.219958264	0.02583432	-0.002478616	0.986038958
PHF6	0.317762447	0.026034142000000003	-0.341787871	0.00515677
NQO2	-0.22528251100000002	0.026043947	0.177378877	0.19531562
UMAD1	-0.15220357699999998	0.026056971	0.075941809	0.34759714
SLC25A19	0.140363281	0.026093252	0.461588402	0.032136401
MTCH1	0.18191010100000002	0.026198646000000003	-0.079229702	0.314680046
PGP	-0.200265627	0.026263481	0.09613616300000001	0.379940606
FBXO38	0.179751007	0.026331636000000002	-0.214272393	0.015281995
FN3K	-0.203229131	0.026374933	0.100524015	0.31851718100000004
RFK	-0.182983476	0.026394097000000002	0.143381164	0.177634723
PIK3AP1	-0.33053150600000003	0.026421235	0.106464418	0.457386267
CAP2	-0.187308143	0.02653591	0.068324055	0.520413461
INIP	-0.49025897	0.026614508	-0.632771176	0.0026612140000000003
NSA2	0.25153789	0.026624942999999998	-0.318305899	0.009938002
THYN1	-0.227639797	0.026708671	0.07386740900000001	0.40236117299999996
ICAM1	0.198857515	0.026730596000000002	0.043194629000000005	0.764353312
HEBP2	-0.19737684100000003	0.026737816	0.12037333900000001	0.308205207
LANCL2	-0.219040464	0.026806255	0.079191834	0.40579846700000005
TALDO1	-0.25746734	0.026844596000000002	0.241277498	0.045688753
SMAP2	-0.156449311	0.026991317	0.163005651	0.16688286800000002
STMN2	-0.33212115600000003	0.027009121	0.21790636800000002	0.210014481
IMPDH1	-0.234516985	0.027040189	0.034566175	0.8015447509999999
ALKBH4	-0.142056555	0.027131957	0.172287684	0.091981131
SHMT1	-0.270306389	0.027148119	0.08986222	0.490590961
CACUL1	0.173253863	0.027255017000000003	-0.073292761	0.29758793699999997
NTS	-0.353372466	0.027608296	0.15327247	0.285192033
ADH5	-0.27963120199999997	0.027620391	0.199953073	0.156917797
CBX5	0.42574857	0.027669403999999998	-0.20185575600000003	0.205933334
AKR1B10	-0.253654386	0.027673486	0.20302121199999998	0.118050515
CCDC14	0.288934892	0.027877918999999998	-0.493668875	0.021995916
POLA2	-0.140461728	0.027889834	-0.009148644000000001	0.908432758
PRDX1	-0.257682775	0.027908212999999998	0.23454420899999998	0.096691653
BAG2	0.165530489	0.027917103999999998	-0.028421855	0.786938586
INTS6	-0.369483864	0.028018559	-0.629026245	0.00011315799999999999
FAM107B	-0.500084061	0.02807173	0.272536035	0.164114258
CENPO	0.3318531	0.028107418999999998	-0.601517266	0.003191899
CALD1	-0.26762151300000003	0.028182875	0.33464729	0.017503953
CABP7	0.245961454	0.028201012	0.028671178999999998	0.8372782390000001
ALDH1A1	-0.397244266	0.028221821	0.326672234	0.065751052
SP100	0.252784917	0.028361749	-0.301605226	0.009975712
HMGN2	0.529021277	0.028375413999999998	-0.162453182	0.679543824
LGALS3	0.199682627	0.028465372000000003	-0.009331161999999999	0.9043948820000001
FAM101A	0.282753566	0.0285138	-0.42511456700000005	0.005169765
SMS	-0.174716955	0.028521521	0.068273628	0.47484891100000004
PGM3	-0.22825199100000002	0.028600816	0.106478221	0.335202485
CCDC86	0.34041651700000003	0.028649277999999997	-0.515956519	0.0014943579999999999
GSTP1	-0.36528827399999997	0.028656034	0.256319896	0.107100244
CKB	-0.154166641	0.028700987999999997	0.020712697	0.84386411
SALL4	-0.32846327399999997	0.028760967999999998	-0.17279201800000002	0.283347583
SZRD1	-0.20729915	0.028782403999999998	0.08836360900000001	0.46709592299999997
CCDC183	0.335747714	0.028819239	-0.35510518799999996	0.108068358
TSPAN15	0.265619818	0.028849645	-0.029803412999999997	0.8408766959999999
PNKD	0.173828034	0.028875926	0.26841369600000003	0.025979027000000002
ACP1	-0.232824985	0.028879766	0.164175002	0.23230258899999998
SHISA2	-0.352010152	0.028915596000000002	0.071156753	0.334648643
ITPR3	0.143030661	0.029005891000000002	0.065081579	0.5116819979999999
AVEN	-0.258883994	0.029019068	0.114227952	0.445390736
MYH9	-0.17356098399999997	0.029021981000000002	0.362827684	0.037524379
ENOPH1	-0.22075199899999998	0.029039927000000004	0.118742979	0.354633831
POLG	0.171317888	0.029114647999999996	-0.08599855699999999	0.292032343
C11orf54	-0.250914611	0.029148907	0.047144975	0.656960978
CCDC90B	0.243503821	0.029153534	0.49415395	0.033776871
RAD21	0.18776079399999998	0.029198156	-0.308836647	0.033564849
RNPEP	-0.157172856	0.029212665	0.076297561	0.419729515
HIGD1A	0.312140044	0.029431762	0.25233432	0.09643376
HN1L	-0.197948703	0.029507017000000003	0.13123042599999998	0.299093467
PPP2R1A	-0.11962697	0.029515331000000002	0.010821104	0.8935537179999999
CARS	-0.20489939899999998	0.029556719	0.164513361	0.109662913
TRMT1L	0.37467453	0.029655881000000002	-0.299737714	0.165374954
JADE3	0.314476057	0.029777655	-0.350025797	0.010281313
E2F3	0.130695607	0.029798239	-0.035861422999999996	0.612364061
INTS1	-0.431102462	0.029902894	-0.596727812	0.000802489
DENR	-0.24687111	0.029906229	0.051568127000000005	0.585198133
APRT	-0.319242082	0.029956128999999998	0.15391997400000001	0.303264253
SIRT7	0.242365048	0.029990005	-0.21112203	0.11539324699999999
TPM3	0.523769209	0.030138851	-0.383336422	0.123793382
PSIP1	0.15220705699999998	0.030142487000000003	-0.201836601	0.064752029
DKK1	0.213676525	0.030145677000000003	-0.08061364900000001	0.396656585
MAPKAP1	-0.18064551199999998	0.03019382	-0.049476463	0.50777715
NOL9	0.246164247	0.030251822999999997	-0.19636222399999997	0.14992177
UBE2L3	-0.276465905	0.030253952999999997	0.15869408599999998	0.204493993
BSPRY	0.163567595	0.03026805	0.127112965	0.39119974
ALDOA	-0.227573831	0.030356935	0.16524376699999999	0.19300747699999998
SMDT1	0.18466794	0.030363455	-0.037542391	0.7310733159999999
SETD8	0.356923635	0.030437497	-0.37704447399999996	0.08656397699999999
GLO1	-0.244069581	0.030466126	0.148126291	0.291340824
ENDOG	0.23198502199999999	0.030470777999999997	-0.12349877	0.29232420800000003
MAP2K6	-0.23997589100000002	0.030471161	0.18017820199999998	0.138745579
CEP350	0.180446241	0.030943641	-0.148172257	0.12215479800000001
TP53I11	0.164476593	0.031027292	0.10751341199999999	0.304504323
MCTS1	-0.203942051	0.031082725	0.09436761800000001	0.372997047
KLHL12	-0.384183716	0.031094662999999998	0.18019126100000002	0.113352601
CHORDC1	-0.16440833800000001	0.031104319	0.034043161	0.74038493
C15orf40	-0.19159827399999999	0.03127788	0.023456335	0.817344923
IPO9	-0.13273563300000002	0.031308918	0.085528374	0.277250553
PLAUR	0.278381055	0.031345628	-0.158998099	0.137891195
UBE2K	-0.22379430600000003	0.031411568	0.14080963300000002	0.251459064
ISYNA1	-0.23164747	0.031446808	0.122666335	0.38241968200000004
AK1	-0.22866104399999998	0.031476379	0.10219299800000001	0.348781844
ZNF706	-0.139866821	0.031482395	0.049562225999999994	0.5864433729999999
ASRGL1	-0.190004165	0.031515583	0.068399358	0.4960036
GLB1	0.135165369	0.03158829	-0.032660823	0.69129449
ZNF267	0.206146336	0.031634895	-0.285196615	0.006115285
PTGES3	-0.20408772	0.031819836000000004	0.196670822	0.07296955200000001
ISG20L2	0.308542825	0.031830881	-0.39322144700000006	0.018209168
ATG4B	-0.23323465100000002	0.031861562999999996	0.044870797999999996	0.686317128
HK3	0.238695789	0.032031233	0.062235107000000005	0.623830353
TBC1D9B	-0.11972546	0.032141338	-0.039345487	0.630716556
ZC3H11A	-0.217868576	0.032208457999999995	-0.014878200000000001	0.8691643990000001
PCGF2	-0.354959529	0.032245794	-0.024479583	0.907688638
SLC16A3	-0.353356478	0.032489326	0.31977549	0.030935235
ME1	-0.200758315	0.032519002000000005	0.14142022199999998	0.192338646
PPP1R14B	-0.28283816	0.032640504	-0.123970861	0.42485577399999996
PEX10	0.184878138	0.032770171	0.087984355	0.46978943700000003
MTUS2	0.24971075199999998	0.032795106	-0.120329986	0.241760878
SURF2	-0.17192062	0.032846046000000004	0.180480465	0.079084097
C1orf123	-0.238406645	0.032987274	0.113916024	0.40216616
CBX1	0.326351944	0.033028897	-0.316292197	0.057524318
SLC30A10	-0.35672082299999996	0.033232086	0.38902213799999996	0.010317958
PFN2	-0.167692221	0.033313537000000004	0.100882304	0.30529701600000003
UBE2N	-0.18897065	0.033372824	0.141878004	0.192001865
LEMD2	0.183159742	0.033451951	-0.078712546	0.44263348700000005
PDXK	-0.251051921	0.033489977000000004	0.11054329800000001	0.290747282
WARS	-0.257437155	0.033576287999999996	0.193096518	0.084828944
CTSS	0.330972383	0.03358727	-0.138802313	0.343709139
DDB2	0.158941362	0.033664051	-0.12319599099999999	0.14077932599999998
PSPH	-0.40186339600000004	0.033821638	0.24570175	0.057627085
PPP2R5D	-0.166137704	0.033890786	0.053866548	0.5628688479999999
AKTIP	-0.202047266	0.033895083	0.114031003	0.20308952600000002
LAMB3	0.20811950699999998	0.033904876	-0.183815808	0.108827651
IDH1	-0.31640992100000004	0.033905077	0.272132206	0.115181699
NQO1	-0.31227268199999997	0.03398666	0.247259493	0.167732628
MAPK14	-0.17563740100000003	0.034039728	0.08986028199999999	0.370425974
CRTC2	-0.155985096	0.034061115	0.105179471	0.289948015
TPMT	-0.212550685	0.034076592	0.04815547	0.657265952
KHSRP	-0.265334588	0.034222024	0.09670796	0.314371816
FSCN1	-0.313173796	0.03427468	0.084302153	0.548402799
DCDC2	-0.18766929100000002	0.034293926	0.11626672	0.179646453
LMO7	0.478959465	0.034319935	-0.378125789	0.008280932
